"id";"schluessel";"von";"bis";"von_str";"bis_str";"wdm";"wdm_klar";"strasse";"status";"historie";"straba";"laenge";"aend";"geom"
7419;"09159020";"14855";"14856";"Kastanienstr.";"Am Alten Elbarm";"H";"sonstige Hauptverkehrsstraße";"Berthold-Haupt-Straße";0;"AKT";"S";164.36;2024-02-06;"SRID=4326;LINESTRING(13.83527073403635299087 51.00940958122253476859,13.83583158931420697968 51.00932568943684941587,13.83690433507305428407 51.00916821259027500446,13.83755286751080149088 51.00907621049324802698)"
7420;"09159025";"14856";"14857";"Am Alten Elbarm";"Franz-Latzel-Str.";"H";"sonstige Hauptverkehrsstraße";"Berthold-Haupt-Straße";0;"AKT";"S";140.69;2024-02-06;"SRID=4326;LINESTRING(13.83755286751080149088 51.00907621049324802698,13.83792133293263937333 51.009023493460382781,13.83849333882281840147 51.00894426910865320224,13.83950521642196029859 51.0087878431444181615)"
7422;"09159040";"14857";"14859";"Franz-Latzel-Str.";"Heckenweg";"H";"sonstige Hauptverkehrsstraße";"Berthold-Haupt-Straße";0;"AKT";"S";77.07;2024-02-06;"SRID=4326;LINESTRING(13.83950521642196029859 51.0087878431444181615,13.84010925716674833552 51.00869892992511012153,13.84057473185953490713 51.00862993906034859037)"
7423;"09159050";"14859";"14860";"Heckenweg";"Ulmenstr.";"H";"sonstige Hauptverkehrsstraße";"Berthold-Haupt-Straße";0;"AKT";"S";204.92;2024-02-06;"SRID=4326;LINESTRING(13.84057473185953490713 51.00862993906034859037,13.84112347298054679356 51.00855914819420178219,13.84171150654595550122 51.00847174239861914202,13.84235306691001810009 51.0083856104512065599,13.84302094460560006439 51.00828828499246725414,13.84342864065630074322 51.00823919093822667037)"
7424;"09159060";"14860";"14835";"Ulmenstr.";"Lockwitzbachweg";"H";"sonstige Hauptverkehrsstraße";"Berthold-Haupt-Straße";0;"AKT";"S";77.88;2024-02-06;"SRID=4326;LINESTRING(13.84342864065630074322 51.00823919093822667037,13.84388539137327711614 51.00817859790445396584,13.84451193374304978079 51.00808661752144246293)"
7425;"09159070";"14835";"14861";"Lockwitzbachweg";"Meußlitzer Str.";"H";"sonstige Hauptverkehrsstraße";"Berthold-Haupt-Straße";0;"AKT";"S";281.35;2024-02-06;"SRID=4326;LINESTRING(13.84451193374304978079 51.00808661752144246293,13.84458111114449074819 51.00807743740758581907,13.84573185363230507505 51.0078921723853895287,13.84607981069406790198 51.00784728735538919864,13.84647271847687477475 51.00780857357545272635,13.84685075739452742027 51.0077969205316605894,13.84712208156959967198 51.00780599398034809155,13.84736958566174891416 51.00782841012372870182,13.84811989196075288078 51.00790072868201008305,13.84845135717371000794 51.00794732027605249414)"
7426;"09159090";"14861";"14862";"Meußlitzer Str.";"Freischützstr.";"U";"übrige Straße";"Berthold-Haupt-Straße";0;"AKT";"S";70.32;2024-02-06;"SRID=4326;LINESTRING(13.84845135717371000794 51.00794732027605249414,13.84890296805841458649 51.0079782340232057436,13.84944524944024557556 51.00802798064465548578)"
7427;"09159100";"14862";"14863";"Freischützstr.";"August-Röckel-Str.";"U";"übrige Straße";"Berthold-Haupt-Straße";0;"AKT";"S";85.56;2024-02-06;"SRID=4326;LINESTRING(13.84944524944024557556 51.00802798064465548578,13.84999049724823372287 51.0080738492426704056,13.8506502689699555475 51.00814492848267889258)"
7428;"09159110";"14863";"14864";"August-Röckel-Str.";"Hosterwitzer Str.";"U";"übrige Straße";"Berthold-Haupt-Straße";0;"AKT";"S";247;2024-02-06;"SRID=4326;LINESTRING(13.8506502689699555475 51.00814492848267889258,13.85114609993982703884 51.00819176685904210444,13.85230474893900698419 51.00829304726791946223,13.85290765743753915729 51.00835057302818853486,13.85413237328674540549 51.00847110814105178633)"
7430;"09159125";"14864";"14866";;;"SB";"Straßenbahn (eigene Trasse)";"Berthold-Haupt-Straße";5;"AKT";"S";84.11;2024-02-06;"SRID=4326;LINESTRING(13.85413237328674540549 51.00847110814105178633,13.8551386668648213174 51.00853633792885943876,13.85526078356662615931 51.00853358575133711383,13.85532365965378254202 51.00852333753348233358)"
